id,name,host_id,host_name,host_since,neighbourhood,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,review_scores_value
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,24-09-2008,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1,2,59,3,44,248,1,2.1,10
3209,"Quiet apt near center, great view",3806,Maartje,24-10-2008,Westerpark,Apartment,Entire home/apt,5,2,2,160,4,47,42,1,1.03,9
20168,100%Centre-Studio 1 Private Floor/Bathroom,59484,Alex,02-12-2009,Centrum-Oost,Townhouse,Entire home/apt,2,1,1,80,1,198,233,2,2.18,9
25428,Lovely apt in City Centre (Jordaan),56142,Joan,20-11-2009,Centrum-West,Apartment,Entire home/apt,3,1,1,125,14,141,1,2,0.09,10
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,23-03-2010,Centrum-West,Houseboat,Private room,2,1,1,150,2,199,171,1,2.03,10
28658,Cosy guest room near city centre -1,123414,Michele,12-05-2010,Bos en Lommer,Apartment,Private room,2,1,2,65,3,295,434,2,4.16,9
28871,Comfortable double room,124245,Edwin,13-05-2010,Centrum-West,Apartment,Private room,2,1,1,75,2,137,215,3,2.13,10
29051,Comfortable single room,124245,Edwin,13-05-2010,Centrum-West,Apartment,Private room,1,1,1,55,2,188,383,3,4.07,10
31080,2-story apartment + rooftop terrace,133488,Nienke,27-05-2010,Zuid,Apartment,Entire home/apt,4,3,3,219,3,336,32,1,0.36,9
41125,Amsterdam Center Entire Apartment,178515,Fatih,23-07-2010,Centrum-West,Apartment,Entire home/apt,2,1,1,180,3,11,76,1,0.78,9
42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,01-08-2010,Centrum-West,Bed and breakfast,Private room,2,1,1,159,3,89,426,2,4.24,9
43980,View into park / museum district (long/short stay),65041,Ym,22-12-2009,Zuid,Apartment,Entire home/apt,2,1,2,100,28,10,61,2,0.62,8
44129,Luxury design with canal view,187728,Tanya,01-08-2010,Centrum-West,Apartment,Entire home/apt,3,1,1,250,2,16,176,4,1.74,9
44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,08-08-2010,Centrum-Oost,Apartment,Entire home/apt,4,2,3,200,3,0,31,1,0.31,9
45246,Cozy Flat in the Jordaan (center),200188,George,13-08-2010,Westerpark,Apartment,Entire home/apt,2,1,1,155,3,253,79,1,0.79,9
46386,Cozy loft in central Amsterdam,207342,Joost,20-08-2010,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,150,3,0,3,1,0.03,8
47061,Charming apartment in old centre,211696,Ivar,24-08-2010,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,2,2,140,2,0,167,1,1.67,9
